Dataset,Algorithm,Nodes,Vehicles,Capacity,Time_s,TimeLimit,HitTimeLimit,Status,Cost,Routes
E-n23-k3.vrp,GA_CVRP,22,3,4500,3.9,40,False,Feasible,569,"[[1, 19, 20, 21, 23, 18, 15, 16, 17, 4, 3, 2, 7, 12, 13, 1], [1, 11, 14, 1], [1, 22, 5, 6, 9, 10, 8, 1]]"
E-n23-k3.vrp,ILP_CBC_BASIC,22,3,4500,19.75,20,False,Optimal,584.0,"[[1, 7, 2, 4, 3, 17, 16, 15, 18, 23, 21, 20, 19, 1], [1, 8, 22, 9, 6, 5, 10, 14, 13, 1], [1, 11, 12, 1]]"
E-n23-k3.vrp,GA_CVRP,22,3,4500,3.92,40,False,Feasible,569,"[[1, 19, 20, 21, 23, 18, 15, 16, 17, 4, 3, 2, 7, 12, 13, 1], [1, 11, 14, 1], [1, 22, 5, 6, 9, 10, 8, 1]]"
E-n23-k3.vrp,ILP_CBC_OPT,22,3,4500,9.97,10,True,Optimal,569.0,"[[1, 8, 10, 9, 6, 5, 22, 1], [1, 11, 14, 1], [1, 13, 12, 7, 2, 3, 4, 17, 16, 15, 18, 23, 21, 20, 19, 1]]"
E-n23-k3.vrp,ILP_CBC_BASIC,22,3,4500,9.74,10,False,Optimal,623.0,"[[1, 5, 6, 9, 8, 10, 14, 13, 1], [1, 7, 2, 4, 3, 17, 16, 15, 18, 23, 21, 20, 19, 1], [1, 12, 11, 22, 1]]"
E-n23-k3.vrp,GA_CVRP,22,3,4500,4.0,40,False,Feasible,569,"[[1, 19, 20, 21, 23, 18, 15, 16, 17, 4, 3, 2, 7, 12, 13, 1], [1, 11, 14, 1], [1, 22, 5, 6, 9, 10, 8, 1]]"
E-n23-k3.vrp,HYBRID_GA_ILP,22,3,4500,29.97,20,True,Optimal,569.0,"[[1, 11, 14, 1], [1, 19, 20, 21, 23, 18, 15, 16, 17, 4, 3, 2, 7, 12, 13, 1], [1, 22, 5, 6, 9, 10, 8, 1]]"
E-n22-k4.vrp,ILP_CBC_OPT,21,4,6000,30.04,30,True,Optimal,387.0,"[[1, 7, 2, 3, 6, 8, 10, 1], [1, 14, 12, 5, 4, 9, 11, 1], [1, 15, 17, 18, 16, 13, 1], [1, 20, 22, 21, 19, 1]]"
E-n22-k4.vrp,GA_CVRP,21,4,6000,30.01,30,True,Time Limit,375,"[[1, 10, 8, 6, 3, 2, 7, 1], [1, 14, 12, 5, 4, 9, 11, 1], [1, 18, 21, 19, 16, 13, 1], [1, 17, 20, 22, 15, 1]]"
E-n22-k4.vrp,HYBRID_GA_ILP,21,4,6000,30.01,20,True,Optimal,375.0,"[[1, 10, 8, 6, 3, 2, 7, 1], [1, 14, 12, 5, 4, 9, 11, 1], [1, 17, 20, 22, 15, 1], [1, 18, 21, 19, 16, 13, 1]]"
E-n51-k5.vrp,ILP_CBC_OPT,50,5,160,30.07,30,True,Not Solved,,[]
E-n51-k5.vrp,GA_CVRP,50,5,160,30.01,30,True,Time Limit,619,"[[1, 48, 16, 46, 34, 40, 11, 31, 10, 50, 6, 1], [1, 47, 2, 28, 7, 15, 26, 14, 42, 41, 20, 18, 1], [1, 24, 8, 27, 9, 32, 4, 37, 36, 21, 30, 1], [1, 33, 23, 29, 3, 17, 22, 35, 51, 39, 12, 1], [1, 49, 44, 25, 19, 5, 43, 45, 38, 13, 1]]"
